State,County,Metro/Small Town/Rural Status,Percent with SNAP,Percent Margin of Error (±)
Nebraska,Thurston County,Rural area,18.7%,2.5%
Oklahoma,Muskogee County,Small town,18.7%,1.5%
Georgia,Dodge County,Rural area,18.7%,4.1%
Oklahoma,Okfuskee County,Rural area,18.7%,2.2%
Florida,Columbia County,Small town,18.7%,2.0%
Pennsylvania,Clearfield County,Small town,18.7%,1.4%
Missouri,Barton County,Rural area,18.7%,4.3%
Michigan,Clare County,Rural area,18.6%,1.8%
New Mexico,Hidalgo County,Rural area,18.6%,5.2%
Rhode Island,Providence County,Metro area,18.6%,0.7%
Florida,Franklin County,Rural area,18.6%,3.6%
Alabama,Franklin County,Rural area,18.6%,3.2%
Louisiana,Grant Parish,Metro area,18.6%,3.5%
North Carolina,Martin County,Rural area,18.6%,3.1%
Oregon,Lane County,Metro area,18.6%,0.7%
Oregon,Linn County,Metro area,18.6%,1.2%
Arkansas,Monroe County,Rural area,18.6%,4.1%
South Dakota,Bennett County,Rural area,18.6%,4.4%
Alabama,Crenshaw County,Rural area,18.5%,3.0%
Missouri,Scott County,Small town,18.5%,2.0%
Louisiana,Jackson Parish,Rural area,18.5%,3.5%
Texas,Falls County,Metro area,18.5%,3.1%
Texas,San Patricio County,Metro area,18.5%,1.8%
Oregon,Marion County,Metro area,18.5%,1.0%
Washington,Grays Harbor County,Small town,18.5%,1.5%
Louisiana,Tangipahoa Parish,Metro area,18.5%,1.9%
Tennessee,Rhea County,Small town,18.5%,2.9%
Michigan,Genesee County,Metro area,18.5%,0.8%
California,Madera County,Metro area,18.4%,1.7%
Ohio,Coshocton County,Small town,18.4%,2.3%
Virginia,Prince Edward County,Rural area,18.4%,3.9%
Texas,Val Verde County,Small town,18.4%,2.6%
Mississippi,Clay County,Small town,18.4%,3.2%
Arizona,Yuma County,Metro area,18.4%,1.2%
Pennsylvania,Greene County,Rural area,18.4%,1.9%
Louisiana,Orleans Parish,Metro area,18.4%,0.8%
Iowa,Clarke County,Rural area,18.3%,5.6%
Illinois,Winnebago County,Metro area,18.3%,0.8%
Mississippi,Adams County,Small town,18.3%,2.9%
Tennessee,Hardin County,Rural area,18.3%,2.9%
Oklahoma,Sequoyah County,Metro area,18.3%,1.6%
Texas,Terry County,Rural area,18.3%,5.1%
Ohio,Hocking County,Metro area,18.3%,2.3%
Kentucky,Cumberland County,Rural area,18.3%,6.0%
Georgia,Miller County,Rural area,18.3%,4.3%
Kentucky,Casey County,Rural area,18.2%,3.1%
Louisiana,Union Parish,Metro area,18.2%,3.2%
Mississippi,Franklin County,Rural area,18.2%,5.1%
Kentucky,Laurel County,Small town,18.2%,2.1%
Tennessee,Morgan County,Metro area,18.2%,2.6%
Louisiana,Assumption Parish,Metro area,18.2%,3.8%
Arkansas,Sevier County,Rural area,18.1%,3.7%
Alabama,Dale County,Small town,18.1%,2.0%
Kentucky,Boyd County,Metro area,18.1%,2.4%
Washington,Ferry County,Rural area,18.1%,3.1%
Pennsylvania,Erie County,Metro area,18.1%,0.8%
Mississippi,Walthall County,Rural area,18.1%,6.0%
Louisiana,St. Landry Parish,Small town,18.1%,1.7%
Georgia,Ben Hill County,Small town,18.1%,3.2%
Illinois,Crawford County,Rural area,18.0%,3.0%
Colorado,Las Animas County,Rural area,18.0%,2.6%
Virginia,Bristol city,Metro area,18.0%,4.0%
Georgia,Peach County,Metro area,18.0%,3.1%
Mississippi,Lauderdale County,Small town,18.0%,2.1%
Tennessee,Meigs County,Rural area,18.0%,3.5%
Louisiana,Rapides Parish,Metro area,18.0%,1.4%
Arkansas,Crittenden County,Metro area,18.0%,2.1%
Pennsylvania,Luzerne County,Metro area,18.0%,0.9%
North Carolina,Wayne County,Metro area,17.9%,1.4%
Illinois,Wabash County,Rural area,17.9%,3.2%
Louisiana,Catahoula Parish,Rural area,17.9%,4.3%
Missouri,Reynolds County,Rural area,17.9%,3.9%
Tennessee,Jackson County,Small town,17.9%,3.3%
Texas,Nacogdoches County,Small town,17.9%,2.5%
Louisiana,Winn Parish,Rural area,17.9%,3.5%
South Carolina,Darlington County,Metro area,17.9%,1.8%
Illinois,Edgar County,Rural area,17.9%,3.0%
Oregon,Polk County,Metro area,17.9%,1.9%
North Carolina,Rutherford County,Small town,17.9%,1.9%
Oregon,Douglas County,Small town,17.8%,1.3%
Maine,Piscataquis County,Rural area,17.8%,2.7%
Pennsylvania,Cambria County,Metro area,17.8%,1.0%
Texas,Floyd County,Rural area,17.8%,3.7%
Virginia,Westmoreland County,Rural area,17.8%,3.8%
Washington,Asotin County,Metro area,17.8%,2.8%
Alabama,Geneva County,Metro area,17.8%,2.9%
Washington,Lewis County,Small town,17.7%,1.6%
Alabama,Marengo County,Rural area,17.7%,3.4%
Georgia,Pulaski County,Rural area,17.7%,5.7%
New Mexico,Otero County,Small town,17.7%,2.2%
Illinois,Knox County,Small town,17.7%,1.6%
Florida,Levy County,Metro area,17.7%,2.0%
Oregon,Morrow County,Small town,17.7%,2.8%
Ohio,Clark County,Metro area,17.7%,1.2%
Georgia,Spalding County,Metro area,17.7%,2.0%
Tennessee,Henderson County,Rural area,17.7%,3.1%
Texas,Shelby County,Rural area,17.7%,2.9%
Arkansas,Sharp County,Small town,17.7%,3.0%
Illinois,Jefferson County,Small town,17.7%,1.8%
Louisiana,St. Martin Parish,Metro area,17.7%,2.8%
New Jersey,Passaic County,Metro area,17.7%,0.6%
Oregon,Lake County,Rural area,17.7%,4.5%
Washington,Okanogan County,Rural area,17.6%,2.0%
Texas,Morris County,Rural area,17.6%,3.7%
Oregon,Wheeler County,Rural area,17.6%,4.1%
Iowa,Wapello County,Small town,17.6%,2.6%
Montana,Glacier County,Rural area,17.6%,3.7%
Oklahoma,Cotton County,Metro area,17.6%,3.4%
North Carolina,Cumberland County,Metro area,17.6%,0.6%
Georgia,Colquitt County,Small town,17.6%,2.0%
Illinois,Alexander County,Metro area,17.6%,4.3%
Kentucky,Fleming County,Rural area,17.6%,3.8%
Georgia,Elbert County,Rural area,17.6%,3.1%
New Mexico,Torrance County,Metro area,17.6%,3.5%
Georgia,Worth County,Metro area,17.6%,2.9%
Oregon,Crook County,Small town,17.5%,3.4%
Oklahoma,Latimer County,Rural area,17.5%,2.9%
Illinois,Richland County,Rural area,17.5%,2.8%
Missouri,Howell County,Small town,17.5%,2.2%
Florida,Taylor County,Rural area,17.5%,3.8%
Texas,Nolan County,Small town,17.5%,3.5%
Ohio,Mahoning County,Metro area,17.5%,0.8%
North Carolina,Sampson County,Rural area,17.5%,1.9%
Oregon,Lincoln County,Small town,17.5%,1.9%
North Carolina,Caswell County,Rural area,17.5%,3.3%
Pennsylvania,Venango County,Small town,17.4%,1.4%
Illinois,Ford County,Rural area,17.4%,3.4%
Alabama,Calhoun County,Metro area,17.4%,1.3%
Georgia,Troup County,Small town,17.4%,1.8%
Louisiana,Ouachita Parish,Metro area,17.4%,1.0%
Texas,Wilbarger County,Small town,17.4%,4.1%
Pennsylvania,Mercer County,Metro area,17.4%,1.1%
Kentucky,Harrison County,Rural area,17.4%,3.3%
Texas,Jim Wells County,Small town,17.4%,3.4%
Texas,Nueces County,Metro area,17.4%,1.0%
Illinois,Macon County,Metro area,17.3%,1.2%
Mississippi,Forrest County,Metro area,17.3%,1.9%
Kentucky,Marion County,Rural area,17.3%,2.7%
Mississippi,Simpson County,Metro area,17.3%,3.6%
Maryland,Wicomico County,Metro area,17.3%,1.5%
Maryland,Caroline County,Rural area,17.3%,2.2%
Mississippi,Perry County,Metro area,17.3%,4.1%
Ohio,Ross County,Small town,17.3%,1.7%
Ohio,Ashtabula County,Small town,17.3%,1.2%
Virginia,Lunenburg County,Rural area,17.3%,5.0%
Missouri,Stoddard County,Rural area,17.2%,2.9%
Georgia,Clinch County,Rural area,17.2%,7.7%
Kentucky,Hart County,Rural area,17.2%,2.4%
Tennessee,Wayne County,Rural area,17.2%,2.9%
North Carolina,Cleveland County,Small town,17.2%,1.8%
Mississippi,Lawrence County,Rural area,17.2%,3.9%
Ohio,Highland County,Rural area,17.2%,2.0%
Florida,Gilchrist County,Metro area,17.2%,3.0%
Massachusetts,Suffolk County,Metro area,17.2%,0.5%
Georgia,Ware County,Small town,17.2%,2.2%
Virginia,Buckingham County,Rural area,17.2%,3.5%
Oregon,Baker County,Rural area,17.2%,2.6%
Illinois,Jackson County,Metro area,17.2%,1.5%
Illinois,Hardin County,Rural area,17.1%,5.5%
Iowa,Jefferson County,Small town,17.1%,2.8%
Virginia,Roanoke city,Metro area,17.1%,1.5%
Georgia,Muscogee County,Metro area,17.1%,1.2%
Missouri,Wright County,Rural area,17.1%,3.1%
Tennessee,Johnson County,Rural area,17.1%,2.7%
Mississippi,Neshoba County,Rural area,17.1%,2.8%
New York,Montgomery County,Small town,17.1%,1.5%
Georgia,Lanier County,Metro area,17.1%,5.0%
Pennsylvania,Crawford County,Small town,17.0%,1.3%
Florida,Holmes County,Rural area,17.0%,2.6%
Georgia,Lowndes County,Metro area,17.0%,2.0%
Florida,Madison County,Rural area,17.0%,3.1%
Tennessee,Grundy County,Rural area,17.0%,2.6%
California,Kern County,Metro area,17.0%,0.7%
Colorado,Conejos County,Rural area,17.0%,2.9%
Arkansas,Lawrence County,Rural area,17.0%,3.1%
West Virginia,Greenbrier County,Rural area,17.0%,2.5%
Texas,Calhoun County,Small town,17.0%,3.6%
Tennessee,Obion County,Small town,17.0%,2.1%
West Virginia,Braxton County,Rural area,17.0%,3.4%
Georgia,Wilkinson County,Rural area,17.0%,3.2%
Virginia,Essex County,Rural area,17.0%,4.4%
Georgia,Pierce County,Small town,16.9%,3.3%
Kentucky,Russell County,Rural area,16.9%,3.0%
Washington,Grant County,Small town,16.9%,1.5%
Alabama,Bibb County,Metro area,16.9%,3.8%
Virginia,Scott County,Metro area,16.9%,2.1%
Missouri,Madison County,Rural area,16.9%,3.6%
Georgia,Tattnall County,Rural area,16.9%,3.5%
Tennessee,Monroe County,Rural area,16.9%,2.1%
South Carolina,Chesterfield County,Rural area,16.9%,2.2%
Georgia,Wheeler County,Rural area,16.8%,5.8%
Oklahoma,Ottawa County,Small town,16.8%,0.9%
Mississippi,Stone County,Metro area,16.8%,3.3%
Massachusetts,Bristol County,Metro area,16.8%,0.7%
Texas,Robertson County,Metro area,16.8%,3.2%
Michigan,Schoolcraft County,Rural area,16.8%,3.7%
New York,Schuyler County,Rural area,16.8%,2.6%
West Virginia,Preston County,Metro area,16.8%,2.1%
Virginia,Halifax County,Rural area,16.8%,2.7%
North Carolina,Hoke County,Metro area,16.8%,1.7%
Virginia,Cumberland County,Rural area,16.8%,5.1%
Texas,Deaf Smith County,Small town,16.8%,3.8%
Vermont,Essex County,Rural area,16.7%,2.6%
Missouri,Iron County,Rural area,16.7%,3.5%
Washington,Pacific County,Rural area,16.7%,2.4%
Maine,Androscoggin County,Metro area,16.7%,1.6%
Texas,Hale County,Small town,16.7%,3.1%
West Virginia,Upshur County,Rural area,16.7%,3.0%
Oklahoma,Beckham County,Small town,16.7%,3.8%
North Carolina,Pasquotank County,Small town,16.7%,2.1%
Missouri,Ripley County,Small town,16.7%,2.6%
Pennsylvania,Lackawanna County,Metro area,16.7%,1.0%
Tennessee,Gibson County,Metro area,16.7%,2.3%
Georgia,Jeff Davis County,Rural area,16.7%,5.8%
Montana,Mineral County,Rural area,16.7%,3.9%
Oregon,Jackson County,Metro area,16.6%,1.2%
Mississippi,Harrison County,Metro area,16.6%,1.5%
Kentucky,Mason County,Small town,16.6%,2.9%
Illinois,Vermilion County,Metro area,16.6%,1.3%
Missouri,Dent County,Rural area,16.6%,3.8%
Ohio,Gallia County,Small town,16.6%,2.1%
Georgia,Stephens County,Small town,16.6%,3.2%
North Carolina,Duplin County,Rural area,16.6%,2.3%
Pennsylvania,Blair County,Metro area,16.5%,1.0%
Ohio,Cuyahoga County,Metro area,16.5%,0.4%
Mississippi,Chickasaw County,Rural area,16.5%,2.7%
Oregon,Columbia County,Metro area,16.5%,2.2%
Ohio,Lucas County,Metro area,16.5%,0.6%
Alabama,Randolph County,Rural area,16.5%,3.0%
Texas,Cass County,Rural area,16.5%,2.5%
North Carolina,Rockingham County,Metro area,16.5%,1.4%
Alabama,Mobile County,Metro area,16.5%,0.8%
Pennsylvania,McKean County,Small town,16.5%,1.8%
Tennessee,Clay County,Rural area,16.5%,4.1%
Georgia,Liberty County,Metro area,16.5%,1.9%
Florida,Suwannee County,Rural area,16.5%,3.1%
Oklahoma,Pittsburg County,Small town,16.5%,1.5%
New York,Franklin County,Small town,16.5%,2.0%
Tennessee,Claiborne County,Rural area,16.5%,2.5%
Alabama,Talladega County,Small town,16.4%,1.5%
Georgia,Coffee County,Small town,16.4%,2.9%
Tennessee,Unicoi County,Metro area,16.4%,3.1%
Texas,Titus County,Small town,16.4%,2.0%
West Virginia,Taylor County,Small town,16.4%,3.8%
Florida,Baker County,Metro area,16.4%,3.3%
Oklahoma,Coal County,Rural area,16.4%,2.3%
Tennessee,Dyer County,Small town,16.4%,2.4%
Texas,Anderson County,Small town,16.4%,3.1%
New York,Cattaraugus County,Small town,16.4%,1.2%
Tennessee,Grainger County,Metro area,16.4%,2.8%
Pennsylvania,Schuylkill County,Small town,16.3%,1.0%
Alabama,DeKalb County,Small town,16.3%,1.8%
Kentucky,Nicholas County,Rural area,16.3%,4.3%
Missouri,Wayne County,Rural area,16.3%,3.6%
Kentucky,Monroe County,Rural area,16.3%,2.9%
Georgia,McDuffie County,Metro area,16.3%,3.7%
Texas,Polk County,Rural area,16.3%,2.5%
Texas,Matagorda County,Small town,16.3%,2.8%
Ohio,Guernsey County,Small town,16.3%,1.9%
California,Kings County,Metro area,16.3%,1.4%
Tennessee,Madison County,Metro area,16.3%,1.5%
Kentucky,Lincoln County,Small town,16.3%,3.2%
West Virginia,Cabell County,Metro area,16.2%,1.6%
Mississippi,Clarke County,Small town,16.2%,3.4%
West Virginia,Hancock County,Metro area,16.2%,2.6%
Texas,Bee County,Small town,16.2%,3.3%
Arkansas,Jefferson County,Metro area,16.2%,1.5%
Arkansas,Ouachita County,Small town,16.2%,2.7%
Texas,Aransas County,Small town,16.2%,3.8%
Texas,Houston County,Rural area,16.2%,3.4%
Georgia,Montgomery County,Small town,16.2%,3.8%
Illinois,Kankakee County,Metro area,16.2%,1.3%
Michigan,Alpena County,Small town,16.2%,1.7%
Ohio,Fayette County,Small town,16.2%,1.7%
Oklahoma,Kay County,Small town,16.1%,1.4%
North Carolina,Surry County,Small town,16.1%,1.7%
Tennessee,Shelby County,Metro area,16.1%,0.6%
Mississippi,Choctaw County,Rural area,16.1%,3.4%
Tennessee,Lawrence County,Small town,16.1%,1.9%
Wisconsin,Ashland County,Rural area,16.1%,2.3%
Washington,Mason County,Small town,16.1%,1.6%
South Carolina,Florence County,Metro area,16.1%,1.1%
Alabama,Butler County,Rural area,16.1%,2.8%
Louisiana,West Feliciana Parish,Metro area,16.1%,6.6%
New Mexico,Rio Arriba County,Small town,16.1%,2.1%
Montana,Deer Lodge County,Rural area,16.1%,4.7%
Alaska,Hoonah-Angoon Census Area,Rural area,16.0%,3.0%
Oregon,Tillamook County,Rural area,16.0%,2.8%
North Carolina,Nash County,Metro area,16.0%,2.0%
Texas,Dawson County,Small town,16.0%,3.8%
Texas,Jefferson County,Metro area,16.0%,1.2%
Missouri,Henry County,Rural area,16.0%,2.7%
Kentucky,Caldwell County,Rural area,16.0%,4.7%
California,Colusa County,Rural area,16.0%,2.6%
Louisiana,Jefferson Davis Parish,Small town,15.9%,2.5%
Idaho,Shoshone County,Rural area,15.9%,2.5%
West Virginia,Monroe County,Rural area,15.9%,3.0%
Georgia,Tift County,Small town,15.9%,2.5%
Arkansas,Clay County,Rural area,15.9%,3.1%
New York,Sullivan County,Rural area,15.9%,1.9%
Georgia,Polk County,Small town,15.9%,2.3%
Texas,Wharton County,Small town,15.9%,2.6%
Mississippi,Copiah County,Metro area,15.9%,2.8%
Oklahoma,Mayes County,Rural area,15.9%,1.4%
Georgia,Wilcox County,Rural area,15.9%,3.5%
North Carolina,McDowell County,Small town,15.9%,2.2%
Texas,Liberty County,Metro area,15.9%,2.0%
Kansas,Greenwood County,Rural area,15.8%,2.7%
Oklahoma,Pottawatomie County,Small town,15.8%,1.2%
West Virginia,Wood County,Metro area,15.8%,1.5%
Kentucky,Pulaski County,Small town,15.8%,1.7%
New York,Oswego County,Metro area,15.8%,1.3%
Washington,Spokane County,Metro area,15.8%,0.6%
New Mexico,Bernalillo County,Metro area,15.8%,0.6%
New York,Jefferson County,Metro area,15.8%,1.3%
Colorado,Sedgwick County,Rural area,15.8%,4.6%
Georgia,Wilkes County,Rural area,15.8%,4.4%
Michigan,Newaygo County,Rural area,15.8%,1.6%
New York,Broome County,Metro area,15.8%,0.8%
Tennessee,Benton County,Rural area,15.8%,3.1%
New Jersey,Cumberland County,Metro area,15.8%,1.2%
South Carolina,Union County,Small town,15.7%,2.6%
South Carolina,Cherokee County,Small town,15.7%,2.3%
Arkansas,Columbia County,Small town,15.7%,3.1%
Utah,San Juan County,Rural area,15.7%,2.6%
Missouri,Lawrence County,Rural area,15.7%,2.3%
Texas,Wheeler County,Rural area,15.7%,4.9%
Illinois,Peoria County,Metro area,15.7%,0.9%
Tennessee,Carter County,Metro area,15.7%,1.9%
Michigan,Muskegon County,Metro area,15.7%,1.1%
Georgia,Morgan County,Metro area,15.7%,3.3%
Arkansas,Franklin County,Metro area,15.7%,3.4%
Pennsylvania,Forest County,Rural area,15.7%,3.1%
Colorado,Saguache County,Rural area,15.7%,4.1%
Georgia,Brooks County,Metro area,15.7%,3.4%
New York,Chemung County,Metro area,15.7%,1.4%
West Virginia,Wetzel County,Rural area,15.7%,3.2%
Alabama,Pike County,Small town,15.6%,2.7%
Tennessee,McNairy County,Rural area,15.6%,2.5%
Virginia,Russell County,Rural area,15.6%,3.3%
South Dakota,Lyman County,Rural area,15.6%,3.7%
Kentucky,Todd County,Rural area,15.6%,3.3%
Colorado,Baca County,Rural area,15.6%,3.8%
Virginia,Waynesboro city,Metro area,15.6%,3.5%
Arkansas,Scott County,Rural area,15.6%,3.7%
Virginia,Smyth County,Rural area,15.6%,1.9%
West Virginia,Kanawha County,Metro area,15.6%,1.0%
Ohio,Athens County,Small town,15.6%,1.8%
Arkansas,Greene County,Small town,15.6%,2.6%
West Virginia,Marion County,Small town,15.6%,1.5%
Maine,Oxford County,Rural area,15.6%,1.7%
Tennessee,Houston County,Rural area,15.6%,2.9%
South Carolina,Chester County,Metro area,15.6%,2.3%
Oklahoma,Nowata County,Rural area,15.6%,2.3%
Georgia,Butts County,Metro area,15.5%,3.8%
North Carolina,Franklin County,Metro area,15.5%,2.0%
Missouri,Ozark County,Rural area,15.5%,3.9%
Minnesota,Wadena County,Rural area,15.5%,2.8%
Ohio,Jefferson County,Metro area,15.5%,1.3%
Ohio,Marion County,Small town,15.5%,1.5%
Pennsylvania,Clinton County,Small town,15.5%,1.8%
Tennessee,DeKalb County,Rural area,15.5%,3.2%
North Carolina,Randolph County,Metro area,15.5%,1.4%
Texas,San Jacinto County,Rural area,15.5%,3.0%
Maine,Franklin County,Rural area,15.5%,2.4%
South Carolina,Fairfield County,Metro area,15.5%,3.2%
West Virginia,Hardy County,Rural area,15.4%,3.6%
California,Yuba County,Metro area,15.4%,1.6%
Arizona,Gila County,Small town,15.4%,1.7%
Tennessee,Henry County,Small town,15.4%,2.1%
Maryland,Washington County,Metro area,15.4%,1.1%
Illinois,Mason County,Rural area,15.4%,2.1%
Tennessee,Trousdale County,Metro area,15.4%,4.8%
Virginia,Portsmouth city,Metro area,15.4%,1.5%
Alaska,Prince of Wales-Hyder Census Area,Rural area,15.4%,2.4%
Louisiana,St. John the Baptist Parish,Metro area,15.4%,2.6%
Indiana,Fayette County,Small town,15.4%,2.7%
Mississippi,Hinds County,Metro area,15.4%,1.0%
Illinois,Edwards County,Rural area,15.4%,3.2%
Louisiana,Terrebonne Parish,Metro area,15.4%,1.5%
South Carolina,Sumter County,Metro area,15.4%,1.3%
Oklahoma,Johnston County,Rural area,15.4%,2.7%
Arkansas,Conway County,Rural area,15.4%,2.9%
Texas,Tyler County,Rural area,15.4%,2.7%
Texas,Karnes County,Rural area,15.4%,4.3%
Michigan,Luce County,Rural area,15.4%,4.1%
New York,Cayuga County,Small town,15.4%,1.5%
Florida,Bradford County,Rural area,15.4%,3.0%
New York,Oneida County,Metro area,15.3%,0.7%
West Virginia,Barbour County,Rural area,15.3%,3.5%
Michigan,Gladwin County,Rural area,15.3%,1.4%
West Virginia,Ohio County,Metro area,15.3%,2.2%
Tennessee,Warren County,Small town,15.3%,2.2%
Illinois,Rock Island County,Metro area,15.3%,1.0%
Georgia,Cook County,Rural area,15.3%,3.1%
South Carolina,Laurens County,Metro area,15.3%,1.6%
Pennsylvania,Lycoming County,Metro area,15.3%,1.4%
Tennessee,White County,Rural area,15.3%,2.6%
North Carolina,Rowan County,Metro area,15.2%,1.5%
Michigan,Gogebic County,Rural area,15.2%,3.0%
Illinois,White County,Rural area,15.2%,2.7%
Alabama,Escambia County,Small town,15.2%,2.3%
Texas,Reeves County,Small town,15.2%,5.2%
Alabama,Pickens County,Metro area,15.2%,2.4%
Georgia,Franklin County,Rural area,15.2%,3.0%
New York,St. Lawrence County,Small town,15.2%,1.2%
West Virginia,Jackson County,Metro area,15.2%,3.2%
Florida,Duval County,Metro area,15.2%,0.6%
West Virginia,Randolph County,Small town,15.2%,2.2%
Pennsylvania,Clarion County,Rural area,15.2%,1.4%
West Virginia,Marshall County,Metro area,15.2%,2.6%
Nevada,Mineral County,Rural area,15.2%,5.9%
Iowa,Des Moines County,Small town,15.2%,1.9%
Illinois,Logan County,Small town,15.2%,1.9%
New Mexico,Lea County,Small town,15.2%,2.0%
Kentucky,Butler County,Metro area,15.2%,3.0%
Arkansas,Dallas County,Rural area,15.2%,3.8%
Virginia,Norfolk city,Metro area,15.2%,1.1%
Illinois,Hamilton County,Rural area,15.1%,3.9%
Louisiana,Lafourche Parish,Metro area,15.1%,1.6%
New York,Erie County,Metro area,15.1%,0.5%
Oregon,Grant County,Rural area,15.1%,2.7%
Illinois,Fulton County,Metro area,15.1%,1.8%
Iowa,Montgomery County,Rural area,15.1%,3.0%
Georgia,Crawford County,Metro area,15.1%,4.5%
Maine,Penobscot County,Metro area,15.1%,1.1%
Alabama,Chambers County,Small town,15.1%,2.7%
Michigan,Arenac County,Rural area,15.1%,1.4%
Illinois,Morgan County,Small town,15.1%,1.7%
New York,Allegany County,Rural area,15.1%,1.2%
Louisiana,Plaquemines Parish,Metro area,15.1%,3.3%
Georgia,Bacon County,Rural area,15.0%,4.4%
Vermont,Windham County,Rural area,15.0%,2.0%
Colorado,Fremont County,Small town,15.0%,1.9%
Arkansas,Hot Spring County,Small town,15.0%,2.8%
Oklahoma,Comanche County,Metro area,15.0%,1.2%
Illinois,Lawrence County,Rural area,15.0%,2.9%
Florida,Lafayette County,Rural area,15.0%,5.6%
New Mexico,Sierra County,Rural area,15.0%,3.6%
Georgia,Madison County,Metro area,15.0%,3.2%
Texas,Madison County,Rural area,15.0%,4.0%
Texas,Freestone County,Rural area,15.0%,3.8%
Illinois,Union County,Rural area,15.0%,2.6%
New York,Chenango County,Rural area,14.9%,1.8%
South Carolina,Greenwood County,Small town,14.9%,1.8%
Pennsylvania,Potter County,Rural area,14.9%,1.7%
New York,Clinton County,Small town,14.9%,1.5%
Louisiana,Vermilion Parish,Metro area,14.9%,2.1%
California,Lake County,Small town,14.9%,1.9%
North Carolina,Gaston County,Metro area,14.9%,0.9%
Michigan,Kalkaska County,Small town,14.9%,2.3%
Mississippi,Jones County,Small town,14.9%,2.1%
Michigan,Otsego County,Rural area,14.9%,2.0%
Arizona,La Paz County,Rural area,14.9%,2.6%
Georgia,Chattahoochee County,Metro area,14.9%,4.4%
Illinois,Montgomery County,Rural area,14.8%,1.8%
Ohio,Brown County,Metro area,14.8%,2.0%
Florida,Orange County,Metro area,14.8%,0.5%
Michigan,Roscommon County,Rural area,14.8%,1.9%
Oregon,Yamhill County,Metro area,14.8%,1.5%
North Carolina,Lee County,Small town,14.8%,1.6%
Arkansas,Arkansas County,Rural area,14.8%,2.4%
Tennessee,Macon County,Metro area,14.8%,2.9%
Mississippi,Calhoun County,Rural area,14.8%,2.5%
Kentucky,Adair County,Rural area,14.8%,2.5%
Texas,Limestone County,Rural area,14.8%,2.4%
Tennessee,Weakley County,Small town,14.8%,2.1%
Arkansas,Lafayette County,Rural area,14.8%,3.8%
Georgia,Bulloch County,Small town,14.8%,1.7%
Kentucky,Barren County,Small town,14.8%,2.0%
Washington,Pend Oreille County,Rural area,14.8%,2.5%
Kentucky,Lyon County,Rural area,14.7%,4.1%
Oregon,Gilliam County,Rural area,14.7%,5.5%
Tennessee,Hawkins County,Metro area,14.7%,2.1%
Oklahoma,Caddo County,Rural area,14.7%,1.4%
Illinois,Fayette County,Rural area,14.7%,2.1%
Arkansas,Ashley County,Rural area,14.7%,2.7%
Florida,Highlands County,Metro area,14.7%,1.5%
West Virginia,Brooke County,Metro area,14.7%,3.4%
Ohio,Richland County,Metro area,14.7%,1.2%
West Virginia,Pendleton County,Rural area,14.7%,3.5%
Connecticut,Windham County,Metro area,14.7%,1.1%
Florida,Escambia County,Metro area,14.7%,0.8%
South Carolina,Abbeville County,Rural area,14.7%,2.5%
Texas,Trinity County,Rural area,14.7%,3.3%
Pennsylvania,Armstrong County,Metro area,14.7%,1.2%
California,San Joaquin County,Metro area,14.7%,0.6%
Oklahoma,Delaware County,Rural area,14.7%,1.4%
Oklahoma,Hughes County,Rural area,14.7%,2.0%
Louisiana,East Baton Rouge Parish,Metro area,14.7%,0.8%
Arizona,Cochise County,Metro area,14.6%,1.1%
Louisiana,St. James Parish,Metro area,14.6%,2.7%
Indiana,Blackford County,Rural area,14.6%,3.3%
Missouri,Bollinger County,Metro area,14.6%,3.3%
Tennessee,Cannon County,Metro area,14.6%,3.3%
Oklahoma,Stephens County,Small town,14.6%,1.7%
Florida,Polk County,Metro area,14.6%,0.6%
Alabama,Marion County,Rural area,14.6%,2.4%
Tennessee,Decatur County,Rural area,14.6%,2.9%
Vermont,Caledonia County,Rural area,14.6%,1.8%
South Carolina,Calhoun County,Metro area,14.6%,3.6%
Wisconsin,Adams County,Rural area,14.6%,1.4%
Georgia,Burke County,Metro area,14.6%,2.6%
Georgia,Carroll County,Metro area,14.6%,1.8%
Mississippi,Panola County,Rural area,14.6%,2.8%
Alabama,Colbert County,Metro area,14.6%,1.9%
Illinois,Lee County,Small town,14.6%,2.0%
Iowa,Cass County,Rural area,14.6%,2.7%
Massachusetts,Essex County,Metro area,14.6%,0.5%
Florida,Hernando County,Metro area,14.6%,1.2%
Missouri,Douglas County,Rural area,14.6%,3.8%
Illinois,Pike County,Rural area,14.6%,2.6%
North Carolina,Wilkes County,Small town,14.6%,1.7%
West Virginia,Mineral County,Metro area,14.6%,3.4%
Montana,Blaine County,Rural area,14.5%,2.9%
Oklahoma,Harmon County,Rural area,14.5%,4.4%
Michigan,Baraga County,Rural area,14.5%,2.3%
Alabama,Walker County,Small town,14.5%,2.0%
Pennsylvania,Jefferson County,Rural area,14.5%,1.2%
Alabama,Henry County,Metro area,14.5%,2.8%
Alabama,Cleburne County,Rural area,14.5%,3.2%
Kentucky,Christian County,Metro area,14.5%,1.7%
South Dakota,Charles Mix County,Rural area,14.5%,2.1%
Michigan,Wexford County,Small town,14.5%,1.8%
Missouri,Bates County,Metro area,14.5%,2.9%
Tennessee,Hickman County,Rural area,14.5%,2.5%
Mississippi,Jasper County,Small town,14.5%,3.5%
Oregon,Curry County,Small town,14.5%,2.4%
Washington,Stevens County,Metro area,14.4%,1.6%
